Long,Lat,,,
150.76188,-33.874813,,"{lng: 150.76188, lat: -33.874813},","150.76188 -33.874813,"
150.718105,-33.869001,,"{lng: 150.718105, lat: -33.869001},","150.718105 -33.869001,"
150.717311,-33.868713,,"{lng: 150.717311, lat: -33.868713},","150.717311 -33.868713,"
150.716395,-33.868164,,"{lng: 150.716395, lat: -33.868164},","150.716395 -33.868164,"
150.714378,-33.866561,,"{lng: 150.714378, lat: -33.866561},","150.714378 -33.866561,"
150.713208,-33.865977,,"{lng: 150.713208, lat: -33.865977},","150.713208 -33.865977,"
150.710643,-33.865111,,"{lng: 150.710643, lat: -33.865111},","150.710643 -33.865111,"
150.707941,-33.864575,,"{lng: 150.707941, lat: -33.864575},","150.707941 -33.864575,"
150.698269,-33.864047,,"{lng: 150.698269, lat: -33.864047},","150.698269 -33.864047,"
150.698032,-33.864215,,"{lng: 150.698032, lat: -33.864215},","150.698032 -33.864215,"
150.697694,-33.865502,,"{lng: 150.697694, lat: -33.865502},","150.697694 -33.865502,"
150.697241,-33.866232,,"{lng: 150.697241, lat: -33.866232},","150.697241 -33.866232,"
150.696207,-33.86724,,"{lng: 150.696207, lat: -33.86724},","150.696207 -33.86724,"
150.691541,-33.870798,,"{lng: 150.691541, lat: -33.870798},","150.691541 -33.870798,"
150.69085,-33.871562,,"{lng: 150.69085, lat: -33.871562},","150.69085 -33.871562,"
150.690501,-33.872276,,"{lng: 150.690501, lat: -33.872276},","150.690501 -33.872276,"
150.689666,-33.875852,,"{lng: 150.689666, lat: -33.875852},","150.689666 -33.875852,"
150.689397,-33.879676,,"{lng: 150.689397, lat: -33.879676},","150.689397 -33.879676,"
150.689867,-33.880698,,"{lng: 150.689867, lat: -33.880698},","150.689867 -33.880698,"
150.692493,-33.883174,,"{lng: 150.692493, lat: -33.883174},","150.692493 -33.883174,"
150.642685,-33.876774,,"{lng: 150.642685, lat: -33.876774},","150.642685 -33.876774,"
150.639698,-33.876357,,"{lng: 150.639698, lat: -33.876357},","150.639698 -33.876357,"
150.63903,-33.873321,,"{lng: 150.63903, lat: -33.873321},","150.63903 -33.873321,"
150.639335,-33.87186,,"{lng: 150.639335, lat: -33.87186},","150.639335 -33.87186,"
150.639222,-33.871107,,"{lng: 150.639222, lat: -33.871107},","150.639222 -33.871107,"
150.638543,-33.869618,,"{lng: 150.638543, lat: -33.869618},","150.638543 -33.869618,"
150.63711,-33.867603,,"{lng: 150.63711, lat: -33.867603},","150.63711 -33.867603,"
150.636583,-33.86651,,"{lng: 150.636583, lat: -33.86651},","150.636583 -33.86651,"
150.636565,-33.866152,,"{lng: 150.636565, lat: -33.866152},","150.636565 -33.866152,"
150.637978,-33.864137,,"{lng: 150.637978, lat: -33.864137},","150.637978 -33.864137,"
150.638449,-33.863044,,"{lng: 150.638449, lat: -33.863044},","150.638449 -33.863044,"
150.638641,-33.861709,,"{lng: 150.638641, lat: -33.861709},","150.638641 -33.861709,"
150.636143,-33.856817,,"{lng: 150.636143, lat: -33.856817},","150.636143 -33.856817,"
150.635726,-33.856284,,"{lng: 150.635726, lat: -33.856284},","150.635726 -33.856284,"
150.634944,-33.855985,,"{lng: 150.634944, lat: -33.855985},","150.634944 -33.855985,"
150.634327,-33.855985,,"{lng: 150.634327, lat: -33.855985},","150.634327 -33.855985,"
150.633578,-33.856517,,"{lng: 150.633578, lat: -33.856517},","150.633578 -33.856517,"
150.633245,-33.857,,"{lng: 150.633245, lat: -33.857},","150.633245 -33.857,"
150.632429,-33.85948,,"{lng: 150.632429, lat: -33.85948},","150.632429 -33.85948,"
150.631498,-33.860529,,"{lng: 150.631498, lat: -33.860529},","150.631498 -33.860529,"
150.630032,-33.861128,,"{lng: 150.630032, lat: -33.861128},","150.630032 -33.861128,"
150.628607,-33.861964,,"{lng: 150.628607, lat: -33.861964},","150.628607 -33.861964,"
150.626671,-33.862529,,"{lng: 150.626671, lat: -33.862529},","150.626671 -33.862529,"
150.625743,-33.862447,,"{lng: 150.625743, lat: -33.862447},","150.625743 -33.862447,"
150.623969,-33.861161,,"{lng: 150.623969, lat: -33.861161},","150.623969 -33.861161,"
150.623511,-33.861132,,"{lng: 150.623511, lat: -33.861132},","150.623511 -33.861132,"
150.622515,-33.861653,,"{lng: 150.622515, lat: -33.861653},","150.622515 -33.861653,"
150.621763,-33.861706,,"{lng: 150.621763, lat: -33.861706},","150.621763 -33.861706,"
150.619948,-33.860803,,"{lng: 150.619948, lat: -33.860803},","150.619948 -33.860803,"
150.619233,-33.860932,,"{lng: 150.619233, lat: -33.860932},","150.619233 -33.860932,"
150.618395,-33.861508,,"{lng: 150.618395, lat: -33.861508},","150.618395 -33.861508,"
150.617511,-33.861763,,"{lng: 150.617511, lat: -33.861763},","150.617511 -33.861763,"
150.617437,-33.862323,,"{lng: 150.617437, lat: -33.862323},","150.617437 -33.862323,"
150.612801,-33.861848,,"{lng: 150.612801, lat: -33.861848},","150.612801 -33.861848,"
150.612541,-33.861355,,"{lng: 150.612541, lat: -33.861355},","150.612541 -33.861355,"
150.611179,-33.859722,,"{lng: 150.611179, lat: -33.859722},","150.611179 -33.859722,"
150.610549,-33.85865,,"{lng: 150.610549, lat: -33.85865},","150.610549 -33.85865,"
150.610549,-33.858293,,"{lng: 150.610549, lat: -33.858293},","150.610549 -33.858293,"
150.611056,-33.858014,,"{lng: 150.611056, lat: -33.858014},","150.611056 -33.858014,"
150.610248,-33.857814,,"{lng: 150.610248, lat: -33.857814},","150.610248 -33.857814,"
150.609534,-33.857726,,"{lng: 150.609534, lat: -33.857726},","150.609534 -33.857726,"
150.607306,-33.858757,,"{lng: 150.607306, lat: -33.858757},","150.607306 -33.858757,"
150.605084,-33.85916,,"{lng: 150.605084, lat: -33.85916},","150.605084 -33.85916,"
150.605195,-33.860144,,"{lng: 150.605195, lat: -33.860144},","150.605195 -33.860144,"
150.60606,-33.860292,,"{lng: 150.60606, lat: -33.860292},","150.60606 -33.860292,"
150.605827,-33.861115,,"{lng: 150.605827, lat: -33.861115},","150.605827 -33.861115,"
150.606051,-33.861426,,"{lng: 150.606051, lat: -33.861426},","150.606051 -33.861426,"
150.606028,-33.861667,,"{lng: 150.606028, lat: -33.861667},","150.606028 -33.861667,"
150.605221,-33.8631,,"{lng: 150.605221, lat: -33.8631},","150.605221 -33.8631,"
150.603519,-33.864163,,"{lng: 150.603519, lat: -33.864163},","150.603519 -33.864163,"
150.601537,-33.864305,,"{lng: 150.601537, lat: -33.864305},","150.601537 -33.864305,"
