Long,Lat,,,
151.017392,-33.730924,"{ lat: -33.730924, lng: 151.017392},","151.017392 -33.730924,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.017392, -33.730924, geography::STPointFromText('POINT(151.017392 -33.730924)', 4326));"
151.016831,-33.730682,"{ lat: -33.730682, lng: 151.016831},","151.016831 -33.730682,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.016831, -33.730682, geography::STPointFromText('POINT(151.016831 -33.730682)', 4326));"
151.017982,-33.728226,"{ lat: -33.728226, lng: 151.017982},","151.017982 -33.728226,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.017982, -33.728226, geography::STPointFromText('POINT(151.017982 -33.728226)', 4326));"
151.018419,-33.726553,"{ lat: -33.726553, lng: 151.018419},","151.018419 -33.726553,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.018419, -33.726553, geography::STPointFromText('POINT(151.018419 -33.726553)', 4326));"
151.018558,-33.723237,"{ lat: -33.723237, lng: 151.018558},","151.018558 -33.723237,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.018558, -33.723237, geography::STPointFromText('POINT(151.018558 -33.723237)', 4326));"
151.018159,-33.721139,"{ lat: -33.721139, lng: 151.018159},","151.018159 -33.721139,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.018159, -33.721139, geography::STPointFromText('POINT(151.018159 -33.721139)', 4326));"
151.018286,-33.720206,"{ lat: -33.720206, lng: 151.018286},","151.018286 -33.720206,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.018286, -33.720206, geography::STPointFromText('POINT(151.018286 -33.720206)', 4326));"
151.01906,-33.717599,"{ lat: -33.717599, lng: 151.01906},","151.01906 -33.717599,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.01906, -33.717599, geography::STPointFromText('POINT(151.01906 -33.717599)', 4326));"
151.019022,-33.716975,"{ lat: -33.716975, lng: 151.019022},","151.019022 -33.716975,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.019022, -33.716975, geography::STPointFromText('POINT(151.019022 -33.716975)', 4326));"
151.018533,-33.716179,"{ lat: -33.716179, lng: 151.018533},","151.018533 -33.716179,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.018533, -33.716179, geography::STPointFromText('POINT(151.018533 -33.716179)', 4326));"
151.016301,-33.714892,"{ lat: -33.714892, lng: 151.016301},","151.016301 -33.714892,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.016301, -33.714892, geography::STPointFromText('POINT(151.016301 -33.714892)', 4326));"
151.01525,-33.713558,"{ lat: -33.713558, lng: 151.01525},","151.01525 -33.713558,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.01525, -33.713558, geography::STPointFromText('POINT(151.01525 -33.713558)', 4326));"
151.014796,-33.713201,"{ lat: -33.713201, lng: 151.014796},","151.014796 -33.713201,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.014796, -33.713201, geography::STPointFromText('POINT(151.014796 -33.713201)', 4326));"
151.012151,-33.712186,"{ lat: -33.712186, lng: 151.012151},","151.012151 -33.712186,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.012151, -33.712186, geography::STPointFromText('POINT(151.012151 -33.712186)', 4326));"
151.011823,-33.711878,"{ lat: -33.711878, lng: 151.011823},","151.011823 -33.711878,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.011823, -33.711878, geography::STPointFromText('POINT(151.011823 -33.711878)', 4326));"
151.011365,-33.710852,"{ lat: -33.710852, lng: 151.011365},","151.011365 -33.710852,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.011365, -33.710852, geography::STPointFromText('POINT(151.011365 -33.710852)', 4326));"
151.011118,-33.707208,"{ lat: -33.707208, lng: 151.011118},","151.011118 -33.707208,","INSERT INTO MapPolygon (Longitude, Latitude, Geopoint) VALUES (151.011118, -33.707208, geography::STPointFromText('POINT(151.011118 -33.707208)', 4326));"
