Long,Lat,,,
150.993216,-33.446344,0,,"{ lng: 150.993216, lat: -33.446344 },"
150.992866,-33.445373,0,,"{ lng: 150.992866, lat: -33.445373 },"
150.992371,-33.444915,0,,"{ lng: 150.992371, lat: -33.444915 },"
150.992585,-33.443935,0,,"{ lng: 150.992585, lat: -33.443935 },"
150.991965,-33.44251,0,,"{ lng: 150.991965, lat: -33.44251 },"
150.992065,-33.441726,0,,"{ lng: 150.992065, lat: -33.441726 },"
150.991901,-33.441318,0,,"{ lng: 150.991901, lat: -33.441318 },"
150.991378,-33.437233,0,,"{ lng: 150.991378, lat: -33.437233 },"
150.991793,-33.435538,0,,"{ lng: 150.991793, lat: -33.435538 },"
150.992088,-33.432791,0,,"{ lng: 150.992088, lat: -33.432791 },"
150.990836,-33.430004,0,,"{ lng: 150.990836, lat: -33.430004 },"
150.99062,-33.429034,0,,"{ lng: 150.99062, lat: -33.429034 },"
150.989698,-33.427948,0,,"{ lng: 150.989698, lat: -33.427948 },"
150.988687,-33.427242,0,,"{ lng: 150.988687, lat: -33.427242 },"
150.98793,-33.426291,0,,"{ lng: 150.98793, lat: -33.426291 },"
150.986359,-33.426057,0,,"{ lng: 150.986359, lat: -33.426057 },"
150.985338,-33.425667,0,,"{ lng: 150.985338, lat: -33.425667 },"
150.984531,-33.425598,0,,"{ lng: 150.984531, lat: -33.425598 },"
150.982166,-33.424831,0,,"{ lng: 150.982166, lat: -33.424831 },"
150.981546,-33.424936,0,,"{ lng: 150.981546, lat: -33.424936 },"
150.980619,-33.424817,0,,"{ lng: 150.980619, lat: -33.424817 },"
150.979548,-33.424303,0,,"{ lng: 150.979548, lat: -33.424303 },"
150.978275,-33.424197,0,,"{ lng: 150.978275, lat: -33.424197 },"
150.976985,-33.423555,0,,"{ lng: 150.976985, lat: -33.423555 },"
150.97508,-33.423584,0,,"{ lng: 150.97508, lat: -33.423584 },"
150.974289,-33.42342,0,,"{ lng: 150.974289, lat: -33.42342 },"
